ID,Section,Page,Path,Type,Depth,Notes (not shown to testers)
p437,Home & General,Home,/,Page,0,
p719,Home & General,CDMO Services,/cdmo-services/,Page,0,
p4755,Home & General,Platform Technologies,/platform-technologies/,Page,0,
p116,Home & General,Gene Therapy Manufacturing,/gene-therapy/,Page,0,
p724,Home & General,Contact,/contact/,Page,0,
p81,ADC & Bioconjugation,ADC & Bioconjugation Services,/adc-bioconjugation-services/,Page,0,
p85,ADC & Bioconjugation,AJICAP Technology,/adc-bioconjugation-services/ajicap-technology/,Page,1,
p471,ADC & Bioconjugation,AJICAP Process,/adc-bioconjugation-services/ajicap-technology/ajicap-process/,Page,2,
p473,ADC & Bioconjugation,AJICAP Licensing,/adc-bioconjugation-services/ajicap-technology/ajicap-licensing/,Page,2,
p475,ADC & Bioconjugation,AJICAP Partners,/adc-bioconjugation-services/ajicap-technology/ajicap-partners/,Page,2,
p87,Small Molecule,Small Molecule Manufacturing,/small-molecule-api-manufacturing/,Page,0,
p89,Small Molecule,Continuous Flow Chemistry,/small-molecule-api-manufacturing/continuous-flow-chemistry/,Page,1,
p93,Small Molecule,High Potency API Manufacturing,/small-molecule-api-manufacturing/high-potency-api-manufacturing/,Page,1,
p96,Oligonucleotides,Oligonucleotide Manufacturing,/oligonucleotide-manufacturing/,Page,0,
p98,Oligonucleotides,Research Use Oligonucleotides,/oligonucleotide-manufacturing/research-grade-oligonucleotides/,Page,1,
p100,Oligonucleotides,GMP Oligonucleotide Manufacturing,/oligonucleotide-manufacturing/gmp-oligonucleotide-manufacturing/,Page,1,
p2306,Oligonucleotides,Oligonucleotide Products,/oligonucleotide-manufacturing/oligonucleotide-products/,Page,1,
p2354,Oligonucleotides,Custom Synthesis Products-DNA/RNA/siRNA/LNA,/oligonucleotide-manufacturing/oligonucleotide-products/custom-synthesis-products/,Page,2,
p2704,Oligonucleotides,AJIPHASE-Clinical Trial Products,/oligonucleotide-manufacturing/oligonucleotide-products/clinical-trial-products/,Page,2,
p2710,Oligonucleotides,Econospin,/oligonucleotide-manufacturing/oligonucleotide-products/life-science-products/,Page,2,
p3062,Oligonucleotides,CpG-ODN,/oligonucleotide-manufacturing/oligonucleotide-products/nucleic-acid-medicine-oligos/,Page,2,
p3065,Oligonucleotides,miRNA Design Products,/oligonucleotide-manufacturing/oligonucleotide-products/mirna-mimic-and-inhibitor-design-products/,Page,2,
p3930,Oligonucleotides,Oligo Order Form,/oligonucleotide-manufacturing/oligonucleotide-products/oligo-order-form/,Page,2,
p4478,Oligonucleotides,Enzymatic Ligation Technology,/oligonucleotide-manufacturing/enzymatic-ligation-technology/,Page,1,
p4561,Oligonucleotides,siRNA Synthesis,/oligonucleotide-manufacturing/enzymatic-ligation-technology/sirna-synthesis/,Page,2,
p4563,Oligonucleotides,GenClip Long RNA,/oligonucleotide-manufacturing/enzymatic-ligation-technology/genclip-long-rna/,Page,2,
p104,Peptides,Peptide Manufacturing,/peptide-manufacturing/,Page,0,
p102,Peptides,AJIPHASE Technology,/peptide-manufacturing/ajiphase-technology/,Page,1,
p392,Peptides,AJIPHASE for Oligonucleotides,/peptide-manufacturing/ajiphase-technology/ajiphase-for-oligonucleotides/,Page,2,
p4500,Peptides,AJIPHASE for Peptides,/peptide-manufacturing/ajiphase-technology/ajiphase-for-peptides/,Page,2,
p108,Peptides,Peptide Chemical Synthesis,/peptide-manufacturing/peptide-chemical-synthesis/,Page,1,
p2986,Peptides,Peptide Biomanufacturing,/peptide-manufacturing/peptide-biomanufacturing/,Page,1,
p2693,Protein Expression,Protein Expression,/protein-expression/,Page,0,
p110,Protein Expression,Nanobody & VHH Manufacturing,/protein-expression/nanobody-vhh-manufacturing/,Page,1,
p114,Protein Expression,CORYNEX Technology,/protein-expression/corynex-technology/,Page,1,
p467,Protein Expression,Corynex Licensing,/protein-expression/corynex-technology/corynex-licensing/,Page,2,
p469,Protein Expression,Corynex Partners,/protein-expression/corynex-technology/corynex-partners/,Page,2,
p535,Protein Expression,Corynex Process,/protein-expression/corynex-technology/corynex-process/,Page,2,
p142,Company,About,/about/,Page,0,
p2150,Company,History,/about/history/,Page,1,
p144,Company,Careers,/careers/,Page,0,
p154,Company,Facilities,/facilities/,Page,0,
p611,Company,Sustainability,/sustainability/,Page,0,
p3485,Company,Performance,/sustainability/performance/,Page,1,
p3487,Company,Environmental Responsibility,/sustainability/environmental-responsibility/,Page,1,
p3489,Company,Our People,/sustainability/our-people/,Page,1,
t-leaders,Company,Leadership Bio template,/company/leadership/daigaku-hideura/,Template,0,Sample: Daigaku Hideura — covers all 5 Leadership Bio items
p140,News & Resources,News,/news/,Page,0,
p149,News & Resources,Resources,/resources/,Page,0,
t-post,News & Resources,Press Release template,/2023/07/21/notice-regarding-the-display-of-consumption-tax-under-japans-invoice-system/,Template,0,Sample: Notice Regarding the Display of Consumption Tax Under Japan’s Invoice System — covers all 85 Press Release items
t-news,News & Resources,News Article template,/?news=biopharmaceuticals-biosimilars-roundtable,Template,0,Sample: Biopharmaceuticals/Biosimilars Roundtable — covers all 26 News Article items
t-resource,News & Resources,Resource template,/resource/s-tud/,Template,0,Sample: S-TuD — covers all 48 Resource items
t-webinar,News & Resources,Webinar template,/?webinar=webinar-are-you-protecting-your-employees-during-hpapi-manufacturing,Template,0,Sample: Webinar: Are You Protecting Your Employees During HPAPI Manufacturing — covers all 11 Webinar items
t-events,News & Resources,Event template,/events/oligonucleotide-based-therapeutics-conference/,Template,0,Sample: Oligonucleotide-Based Therapeutics Conference — covers all 2 Event items
